lambda,r_H,mu,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,regime
0.005,0.005,0.005,0.4,0.16,0.55,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,0.4,0.16,0.75,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,0.8,0.04,0.15,0.16142427517637328,0.1073112772786126,1.0,0.43337807489020885,0.039,0.15048321312687601,0.0851642263682873,1.0,0.4569516785298565,0.5536556386393063,0.0,capacity_suppression
0.005,0.005,0.005,0.8,0.04,0.35,0.3553190877999669,0.5565419632923496,1.0,0.19305394093260247,1.0,0.35078058239299764,0.5420077689990356,1.0,0.21273228870295735,0.7782709816461748,0.0,intermediate
0.005,0.005,0.005,0.8,0.04,0.55,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,0.8,0.04,0.75,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,0.8,0.08,0.15,0.15571244290742936,0.09601898268585939,1.0,0.44037946573115433,0.019,0.15023779179019447,0.08490681024664234,1.0,0.4569764092511348,0.5480094913429296,0.0,capacity_suppression
0.005,0.005,0.005,0.8,0.08,0.35,0.35266284501688766,0.547970029148106,1.0,0.19626772939936288,1.0,0.35038927602729125,0.5407039643734789,1.0,0.21299645926883387,0.773985014574053,0.0,intermediate
0.005,0.005,0.005,0.8,0.08,0.55,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,0.8,0.08,0.75,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,0.8,0.16,0.15,0.15285626218471596,0.09037807551702569,1.0,0.44387828008348623,0.01,0.15011794662427752,0.08478133335149939,1.0,0.4569830780946688,0.5451890377585128,0.0,capacity_suppression
0.005,0.005,0.005,0.8,0.16,0.35,0.35133222382206614,0.5436744341976644,1.0,0.19787503849711113,1.0,0.35019438178402407,0.5400548091479578,1.0,0.2131247104451385,0.7718372170988321,0.0,intermediate
0.005,0.005,0.005,0.8,0.16,0.55,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,0.8,0.16,0.75,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,1.2,0.04,0.15,0.15761648296237615,0.09978138874751778,1.0,0.2920307972787951,0.026,0.15031874759601854,0.08499165405808869,1.0,0.30464656859120576,0.5498906943737589,0.0,capacity_suppression
0.005,0.005,0.005,1.2,0.04,0.35,0.3535490116610183,0.5508300133358539,1.0,0.13013087636535015,1.0,0.3505194877106974,0.541137755681222,1.0,0.14193968693230527,0.775415006667927,0.0,intermediate
0.005,0.005,0.005,1.2,0.04,0.55,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,1.2,0.04,0.75,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
0.005,0.005,0.005,1.2,0.08,0.15,0.1538083350118219,0.0922581033055281,1.0,0.29514144070271936,0.013,0.1501576836599216,0.08482292130298373,1.0,0.3046541862529584,0.546129051652764,0.0,capacity_suppression
0.005,0.005,0.005,1.2,0.08,0.35,0.351775944710427,0.5451071763606504,1.0,0.1315595008860135,1.0,0.3502592898788566,0.5402709892641708,1.0,0.1420548336438504,0.7725535881803252,0.0,intermediate
0.005,0.005,0.005,1.2,0.08,0.55,0.5112608807598698,0.9763105557818663,1.0,0.0,1.0,0.5255990698884567,0.9908537291504635,1.0,0.0,0.9881552778909332,0.0,adaptive_zone
