lambda,agency_regeneration,agency_transformative_gain,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,regime
0.005,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,1.0,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,1.0,0.9139528185022696,0.5480094913429296,0.0,capacity_suppression
0.0075,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9944557196733882,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.9880673160483517,0.9139528185022696,0.5452373511796238,0.005544280326611806,capacity_suppression
0.01,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9842772613710897,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.9673512824135898,0.9139528185022696,0.5401481220284745,0.01572273862891027,capacity_suppression
0.0125,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9741331856027351,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.9469705940027197,0.9139528185022696,0.5350760841442972,0.025866814397264903,capacity_suppression
0.015,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9640897444383811,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.9269851538907667,0.9139528185022696,0.5300543635621202,0.035910255561618865,capacity_suppression
0.0175,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9541641441642535,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.907405379422512,0.9139528185022696,0.5250915634250565,0.04583585583574645,capacity_suppression
0.02,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9443656021068721,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.8882335019717932,0.9139528185022696,0.5201922923963658,0.05563439789312785,capacity_suppression
0.0225,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9346957106832604,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.8694644233903636,0.9139528185022696,0.5153573466845599,0.0653042893167396,capacity_suppression
0.025,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.92515529130043,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.8510923334872702,0.9139528185022696,0.5105871369931446,0.07484470869957005,capacity_suppression
0.0275,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9157443213531695,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.833110691148558,0.9139528185022696,0.5058816520195144,0.08425567864683048,capacity_suppression
0.03,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.9064643130852305,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.8155143573839427,0.9139528185022696,0.5012416478855449,0.09353568691476954,capacity_suppression
0.0325,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8973092962511602,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.7982917037376971,0.9139528185022696,0.4966641394685098,0.10269070374883982,capacity_suppression
0.035,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8882831456752814,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.781439838989465,0.9139528185022696,0.4921510641805704,0.11171685432471856,capacity_suppression
0.0375,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8793803287249219,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.7649478136490993,0.9139528185022696,0.48769965570539064,0.12061967127507811,capacity_suppression
0.04,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.870600609169367,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.748809386879086,0.9139528185022696,0.4833097959276132,0.129399390830633,capacity_suppression
0.0425,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8619437765653482,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.7330184076786894,0.9139528185022696,0.4789813796256038,0.13805622343465185,capacity_suppression
0.045,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8534074812907323,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.7175670470956649,0.9139528185022696,0.47471323198829585,0.1465925187092677,capacity_suppression
0.0475,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.844986421722631,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.7024452490737556,0.9139528185022696,0.4705027022042452,0.15501357827736895,capacity_suppression
0.05,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8366825493822934,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6876489923742097,0.9139528185022696,0.4663507660340764,0.16331745061770664,capacity_suppression
0.0525,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8284940006320893,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6731712374876871,0.9139528185022696,0.46225649165897437,0.17150599936791067,capacity_suppression
0.055,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8204189436795578,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6590050973001994,0.9139528185022696,0.4582189631827086,0.1795810563204422,capacity_suppression
0.0575,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8124555780084614,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6451438337938084,0.9139528185022696,0.4542372803471604,0.18754442199153865,homeostatic_trap
0.06,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8046015261320222,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6315803946567929,0.9139528185022696,0.4503102544089408,0.19539847386797782,homeostatic_trap
0.0625,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7968532343425008,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6183069902401955,0.9139528185022696,0.4464361085141801,0.20314676565749923,homeostatic_trap
0.065,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7892114732587476,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6053192097951633,0.9139528185022696,0.4426152279723035,0.21078852674125237,homeostatic_trap
0.0675,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.781674560769067,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5926108768757421,0.9139528185022696,0.4388467717274632,0.21832543923093295,homeostatic_trap
0.07,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7742408433720884,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5801759487695499,0.9139528185022696,0.4351299130289739,0.22575915662791157,homeostatic_trap
0.0725,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7669086956672428,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5680085136018277,0.9139528185022696,0.4314638391765511,0.23309130433275715,homeostatic_trap
0.075,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7596765198545821,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5561027875021706,0.9139528185022696,0.42784775127022073,0.24032348014541793,homeostatic_trap
0.0775,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7525427452437903,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5444531118325805,0.9139528185022696,0.42428086396482484,0.24745725475620972,homeostatic_trap
0.08,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7455058277722155,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5330539504755429,0.9139528185022696,0.42076240522903746,0.2544941722277845,homeostatic_trap
0.0825,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7385642495317266,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5218998871807934,0.9139528185022696,0.417291616108793,0.2614357504682734,homeostatic_trap
0.085,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7317165183042637,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5109856229695228,0.9139528185022696,0.4138677504950615,0.26828348169573635,homeostatic_trap
0.0875,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.724961167105895,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.5003059735947931,0.9139528185022696,0.4104900748958772,0.275038832894105,homeostatic_trap
0.09,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7182957388473219,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.48985520616219885,0.9139528185022696,0.40715736076659065,0.2817042611526781,homeostatic_trap
0.0925,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7117189886575794,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.4796284947832976,0.9139528185022696,0.4038689856717194,0.28828101134242057,homeostatic_trap
0.095,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7052303988089244,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.46962156129625493,0.9139528185022696,0.4006246907473919,0.29476960119107565,homeostatic_trap
0.0975,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6988285981671969,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.45982965436648715,0.9139528185022696,0.39742379042652815,0.3011714018328031,homeostatic_trap
0.1,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6925122386892846,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.45024812554393323,0.9139528185022696,0.394265610687572,0.3074877613107154,homeostatic_trap
0.1025,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6862799950146977,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.44087242703463736,0.9139528185022696,0.39114948885027856,0.3137200049853023,homeostatic_trap
0.105,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6801305640646429,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.431698109520605,0.9139528185022696,0.38807477337525115,0.3198694359353571,homeostatic_trap
0.1075,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6740626646483976,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.4227208200268463,0.9139528185022696,0.3850408236671285,0.3259373353516024,homeostatic_trap
0.11,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.668075037076884,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.4139362998346113,0.9139528185022696,0.3820470098813717,0.331924962923116,homeostatic_trap
0.1125,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6621664427832994,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.4053403824398223,0.9139528185022696,0.3790927127345794,0.3378335572167006,homeostatic_trap
0.115,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6563356639506559,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.3969289915556865,0.9139528185022696,0.37617732331825765,0.3436643360493441,homeostatic_trap
0.1175,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.6505815031461296,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.388698139158594,0.9139528185022696,0.3733002429159945,0.3494184968538704,homeostatic_trap
0.12,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.644902782962063,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.3806439235763024,0.9139528185022696,0.3704608828239612,0.35509721703793695,homeostatic_trap
