boundary,lambda,agency_regeneration,agency_transformative_gain,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,R_eff,regime
homeostatic_trap_boundary,0.05,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8366825493822934,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6876489923742097,0.9139528185022696,0.4663507660340764,0.16331745061770664,8.035982454464035,capacity_suppression
homeostatic_trap_boundary,0.05025,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8358585354179904,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6861869991247764,0.9139528185022696,0.4659387590519249,0.16414146458200962,8.076162366736355,capacity_suppression
homeostatic_trap_boundary,0.0505,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8350356728173345,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6847281838128857,0.9139528185022696,0.46552732775159694,0.16496432718266552,8.116342279008675,capacity_suppression
homeostatic_trap_boundary,0.05075,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8342139597375285,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.683272539498882,0.9139528185022696,0.46511647121169397,0.16578604026247146,8.156522191280995,capacity_suppression
homeostatic_trap_boundary,0.051,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8333933943389383,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6818200592582659,0.9139528185022696,0.46470618851239887,0.16660660566106167,8.196702103553314,capacity_suppression
homeostatic_trap_boundary,0.05125,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8325739747851058,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6803707361816952,0.9139528185022696,0.4642964787354826,0.16742602521489425,8.236882015825634,capacity_suppression
homeostatic_trap_boundary,0.0515,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8317556992427276,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6789245633749175,0.9139528185022696,0.4638873409642935,0.16824430075727237,8.277061928097956,capacity_suppression
homeostatic_trap_boundary,0.05175,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8309385658816605,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6774815339587626,0.9139528185022696,0.46347877428375994,0.16906143411833952,8.317241840370276,capacity_suppression
homeostatic_trap_boundary,0.052,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8301225728749082,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6760416410690953,0.9139528185022696,0.4630707777803838,0.1698774271250918,8.357421752642596,capacity_suppression
homeostatic_trap_boundary,0.05225,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8293077183986225,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6746048778567879,0.9139528185022696,0.46266335054224095,0.1706922816013775,8.397601664914916,capacity_suppression
homeostatic_trap_boundary,0.0525,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8284940006320893,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6731712374876871,0.9139528185022696,0.46225649165897437,0.17150599936791067,8.437781577187236,capacity_suppression
homeostatic_trap_boundary,0.05275,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8276814177577304,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.671740713142579,0.9139528185022696,0.4618502002217949,0.1723185822422696,8.477961489459556,capacity_suppression
homeostatic_trap_boundary,0.053,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.826869967961097,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6703132980171628,0.9139528185022696,0.4614444753234782,0.17313003203890298,8.518141401731876,capacity_suppression
homeostatic_trap_boundary,0.05325,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8260596494308575,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6688889853220066,0.9139528185022696,0.46103931605835846,0.17394035056914248,8.558321314004196,capacity_suppression
homeostatic_trap_boundary,0.0535,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8252504603587987,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6674677682825273,0.9139528185022696,0.46063472152232904,0.17474953964120132,8.598501226276516,capacity_suppression
homeostatic_trap_boundary,0.05375,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8244423989398194,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6660496401389494,0.9139528185022696,0.4602306908128394,0.1755576010601806,8.638681138548836,capacity_suppression
homeostatic_trap_boundary,0.054,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8236354633719221,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6646345941462807,0.9139528185022696,0.45982722302889073,0.17636453662807794,8.678861050821157,capacity_suppression
homeostatic_trap_boundary,0.05425,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8228296518562079,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6632226235742688,0.9139528185022696,0.45942431727103367,0.17717034814379207,8.719040963093477,capacity_suppression
homeostatic_trap_boundary,0.0545,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8220249625968736,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6618137217073788,0.9139528185022696,0.4590219726413665,0.17797503740312637,8.759220875365797,capacity_suppression
homeostatic_trap_boundary,0.05475,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.821221393801201,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6604078818447571,0.9139528185022696,0.4586201882435302,0.17877860619879904,8.799400787638117,capacity_suppression
homeostatic_trap_boundary,0.055,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8204189436795578,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6590050973001994,0.9139528185022696,0.4582189631827086,0.1795810563204422,8.839580699910439,capacity_suppression
homeostatic_trap_boundary,0.05525,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8196176104453893,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6576053614021186,0.9139528185022696,0.45781829656562434,0.18038238955461072,8.879760612182759,capacity_suppression
homeostatic_trap_boundary,0.0555,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8188173923152079,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6562086674935138,0.9139528185022696,0.45741818750053365,0.1811826076847921,8.919940524455079,capacity_suppression
homeostatic_trap_boundary,0.05575,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8180182875085977,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6548150089319381,0.9139528185022696,0.45701863509722856,0.18198171249140227,8.960120436727399,capacity_suppression
homeostatic_trap_boundary,0.056,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8172202942481992,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6534243790894676,0.9139528185022696,0.4566196384670293,0.1827797057518008,9.000300348999719,capacity_suppression
homeostatic_trap_boundary,0.05625,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8164234107597106,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6520367713526667,0.9139528185022696,0.456221196722785,0.1835765892402894,9.04048026127204,capacity_suppression
